LOINC_NUM,COMPONENT
21850-3,Cancer
21851-1,Address at cancer XXX Dx
21852-9,Census tract certainty 1970&80&90
21853-7,Sequence number central.patient
21854-5,Date first Dx
21855-2,Primary site
21856-0,Histology ICD-O-2
2185-7,Cytochrome C oxidase
21857-8,Behavior ICD-O-2
21858-6,Grade
21859-4,Coding system.original
21860-2,Coding system.original
21861-0,Dx confirmed by
21862-8,Source of document used to abstract
21863-6,Date last screened
21864-4,Most recent screening result for
2186-5,Cytochrome C oxidase
21865-1,Hospital.reporting
21866-9,Patient ID.hospital
21867-7,Sequence number.hospital
21868-5,User ID.hospital assigned
21869-3,Hospital admission.first contact
21870-1,Date of inpatient admission
21871-9,Date of inpatient discharge
21872-7,Relationship between this hospital and cancer Dx
2187-3,Cytosol aminopeptidase
21873-5,Y first seen at this hospital for
21874-3,Cancer conference.presentation status at reporting facility
21875-0,Cancer conference
21876-8,Surgery procedure for primary site at facility.YYY
21877-6,Surgery procedure for regional nodes at facility.YYY
21878-4,Other regional disease at facility.YYY most definitive procedure
21879-2,Surgery.regional nodes examined at facility.YYY most definitive procedure
218-8,Demeclocycline
21880-0,Radiation Rx therapy
2188-1,Cytosol aminopeptidase
21881-8,Chemotherapy Rx at facility.YYY
21882-6,Hormone Rx at facility.YYY
21883-4,Transplant Rx at facility.YYY
21884-2,Other Rx at facility.YYY
21885-9,Surgery.not cancer Rx at facility.YYY
21886-7,Breast-prostate staging.NAACCR
21887-5,SEER summary stage 1977
21888-3,Stage.summary abbreviated at Dx
21889-1,Size
21890-9,Extension
21891-7,Extent of disease
21892-5,Lymph node involvement
21893-3,Regional lymph nodes positive
21894-1,Regional lymph nodes examined
21895-8,Extent of disease.NAACCR.old 13 digit
21896-6,Extent of disease.NAACCR.old 2 digit
21897-4,Extent of disease.NAACCR.old 4 digit
21898-2,Version used
2189-9,Cytosol aminopeptidase
21899-0,Primary tumor.pathology
21900-6,Regional lymph nodes.pathology
21901-4,Distant metastases.pathology
21902-2,Stage group.pathology
21903-0,Descriptor.pathology
21904-8,Stager.pathology
21905-5,Primary tumor.clinical
21906-3,Regional lymph nodes.clinical
2190-7,Dehydroepiandrosterone sulfate
21907-1,Distant metastases.clinical
21908-9,Stage group.clinical
21909-7,Descriptor.clinical
21910-5,Stager.clinical
21911-3,Primary tumor.other
21912-1,Regional lymph nodes.other
21913-9,Distant metastases.other
21914-7,Stage group.other
2191-5,Dehydroepiandrosterone sulfate
21915-4,Stager.other
21916-2,Descriptor.other
21917-0,Version used
21918-8,Other staging classification
21919-6,Date 1st positive Bx
21920-4,Site of distant metastasis
21921-2,Pediatric stage
21922-0,Coding system used
2192-3,Dehydroepiandrosterone sulfate
21923-8,Pediatric cancer stager
21924-6,Tumor marker
21925-3,Date 1st surgery treatment
21926-1,Date 1st radiation treatment
21927-9,Date 1st chemotherapy treatment
21928-7,Date 1st hormone treatment
21929-5,Date 1st immunotherapy treatment
21930-3,Date 1st other treatment
2193-1,Dehydroepiandrosterone
21931-1,Date 1st cancer Rx (any).SEERS
21932-9,Date 1st cancer Rx (any).COC
21933-7,Date non cancer directed surgery Rx as part of 1st cancer
21934-5,Surgery site.primary
21935-2,Surgery scope
21936-0,Surgery.other regional disease
21937-8,Surgery regional nodes examined
21938-6,Surgical approach
21939-4,Surgical margins cancer involvement
21940-2,Surgery reconstruction
21941-0,Reason for no cancer directed surgery
21942-8,Non cancer directed surgery summary
21943-6,Radiation Rx
21944-4,Lung & leukemia CNS radiation status
21945-1,Surgery-radiation sequence
21946-9,Chemotherapy Rx
21947-7,Hormone Rx
21948-5,Biological response modifier Rx
2194-9,Dehydroepiandrosterone
21949-3,Other Rx
21950-1,Reason for no radiation Rx
21951-9,Reason for no chemotherapy Rx
21952-7,Reason for no hormone Rx
21953-5,Coding system for Rx
21954-3,Protocol eligibility status
21955-0,Source of protocol in which patient enrolled
2195-6,Dehydroepiandrosterone
21956-8,Referred to support services
21957-6,Method for calculating time interval of 1st course of treatment
21958-4,Regional radiation Rx
21959-2,Number of radiation Rx
219-6,Demeclocycline
21960-0,Duration
21961-8,Organ target(s)
21962-6,Where performed
21963-4,Curative intent of Rx
2196-4,Dehydroepiandrosterone.unconjugated
21964-2,Modality
21965-9,Completion status
21966-7,Regional outcomes of
21967-5,Chemotherapy
21968-3,Surgery
21969-1,Dx &or stage
21970-9,2nd course treatment start date
21971-7,2nd course treatment
2197-2,Dehydroepiandrosterone.unconjugated
21972-5,2nd course treatment.surgery.other regional disease
21973-3,3rd course treatment
21974-1,Surgery reconstruction
21975-8,Date last contact
21976-6,Cancer outcome status
21977-4,Survival quality
21978-2,Source of follow-up information
21979-0,Planned &or next follow-up
2198-0,Delta aminolevulinate
21980-8,Other follow-up method
21981-6,Recurrence date
21982-4,Recurrence distant site(s)
21983-2,Recurrence type
21984-0,Cause of death
21985-7,ICD revision number
21986-5,Autopsy status
21987-3,Geographic place of death
21988-1,Site.ICD-O-1
21989-9,Morphology.ICD-O-1
21990-7,ICD-O-1 to ICD-O-2 conversion method
21991-5,Age&site&morphology override flag
21992-3,Sequence number&diagnosis confirm override flag
21993-1,Site&laterality&sequence number override flag
21994-9,Surgery&diagnosis confirm override flag
21995-6,Site&type override flag
21996-4,Histology override flag
21997-2,Report source override flag
2199-8,Delta aminolevulinate
21998-0,Ill defined site override flag
21999-8,Leukemia & lymphoma override flag
22000-4,Site & behavior override flag
22001-2,Site & extent of disease & diagnosis date override flag
22002-0,Site & laterality & extent of disease override flag
22003-8,Site & laterality & morphology override flag
2200-4,Delta aminolevulinate
22004-6,CRC checksum
22005-3,Date case completed
22006-1,Date case last changed
22007-9,Date case report exported
22008-7,Date case report received
22009-5,Date case report loaded
22010-3,Date tumor record available
22011-1,Coding system.current.SEER
2201-2,Deoxycholate
22012-9,Coding system.original.SEER
22013-7,Coding system.current.COC
22014-5,Coding system.original.COC
22015-2,Follow-up expectation
22016-0,SEER record number
22017-8,State defined narrative
22018-6,Military patient number
22019-4,Death certificate number
2202-0,Deoxycholylglycine
22020-2,Maiden name
22021-0,Institution referred from
22022-8,Institution referred to
22023-6,Last follow-up hospital
22024-4,Following registry
22025-1,Physician managing
22026-9,Physician follow up
22027-7,Surgeon primary
22028-5,Physician
22029-3,Physical exam.total
22030-1,Xray/Scan.total
22031-9,Scopic exam.total
22032-7,Lab tests.total
22033-5,Operations (?).total
22034-3,Pathology report.total
22035-0,Primary site
22036-8,Histology
22037-6,Staging
2203-8,Dermatan sulfate
22038-4,Surgery Rx
22039-2,Radiation beam Rx
220-4,Dicloxacillin
22040-0,Radiation other Rx
22041-8,Chemotherapy Rx
22042-6,Hormone Rx
22043-4,Transplant Rx
22044-2,Other Rx
22045-9,Remarks recorded
2204-6,Dermatan sulfate
22046-7,Place of 1st Dx
22047-5,Record ID battery
22048-3,Patient demographics battery
22049-1,Cancer identification battery
22050-9,Hospital specific battery
22051-7,State & prognostic factors battery
22052-5,Treatment battery.first
2205-3,Diacetate
22053-3,Treatment battery.subsequent
22054-1,Followup&recurrent&death battery
22055-8,Overrides&conversion&system administration battery
22056-6,Special use battery
22057-4,Patient confidential battery
22058-2,Hospital confidential battery
22059-0,Other confidential battery
22060-8,Text diagnosis battery
2206-1,Dicarboxylate C6-C8-C10
22061-6,Text treatment battery
22062-4,Text miscellaneous battery
22063-2,Correction comments battery
22064-0,Alpha 1 globulin
22065-7,Propoxyphene
22066-5,PRSS1 gene mutations tested for
22067-3,NB gene mutations tested for
22068-1,MXI1 gene mutations tested for
22069-9,MT-ATP6 gene mutations tested for
22070-7,Hereditary pancreatitis gene targeted mutation analysis
22071-5,Gauchers disease type 3 gene targeted mutation analysis
22072-3,Gauchers disease type 2 gene targeted mutation analysis
22073-1,Gauchers disease type 1 gene targeted mutation analysis
22074-9,FGFR3 gene mutations tested for
22075-6,DMD gene mutations tested for
22076-4,CMKBR5 gene mutations tested for
22077-2,Acanthamoeba sp Ab
22078-0,Acanthamoeba sp Ab
2207-9,Dicarboxylate C6-C8-C10
22079-8,Actinomyces sp Ab
22080-6,Adenovirus Ab
22081-4,Afipia felis Ab.IgG
22082-2,Afipia felis Ab.IgM
22083-0,Alcelaphine herpesvirus 1 Ab
22084-8,Anaplasma marginale Ab
22085-5,Aspergillus fumigatus 3 Ab
22086-3,Aspergillus niger Ab
2208-7,Diethyl ether
22087-1,Aspergillus sp Ab
22088-9,Avian adenovirus 2 Ab
22089-7,Avian adenovirus Ab
22090-5,Avian encephalomyelitis virus Ab
22091-3,Avian hemorrhagic enteritis virus Ab
22092-1,Infectious bronchitis virus Ark-99 Ab
22093-9,Infectious bronchitis virus Conn-42 Ab
22094-7,Infectious bronchitis virus Mass-41 Ab
2209-5,Dihydrofolate
22095-4,Avian infectious laryngotracheitis virus Ab
22096-2,Influenza virus A Ab
22097-0,Avian paramyxovirus 1 Ab
22098-8,Avian paramyxovirus 1 Ab
22099-6,Avian paramyxovirus 2 Ab
22100-2,Avian paramyxovirus 3 Ab
22101-0,Avian pox virus Ab
22102-8,Avian reovirus Ab
2210-3,Dihydrolipoamide acetyl transferase
22103-6,Reticuloendotheliosis virus Ab
22104-4,Babesia caballi Ab
22105-1,Theileria equi Ab
22106-9,Babesia sp Ab
22107-7,Babesia sp Ab.IgG
22108-5,Babesia sp Ab.IgM
22109-3,Bacillus anthracis Ab
22110-1,Bartonella henselae Ab.IgG
2211-1,Dihydrolipoamide dehydrogenase
22111-9,Bartonella henselae Ab.IgM
22112-7,Blastomyces dermatitidis Ab
22113-5,Bluetongue virus Ab
22114-3,Bordetella avium Ab
22115-0,Bordetella avium Ab
22116-8,Bordetella pertussis Ab
22117-6,Bordetella pertussis Ab
22118-4,Borrelia burgdorferi Ab
22119-2,Borrelia burgdorferi Ab
221-2,Dicloxacillin
22120-0,Borrelia burgdorferi Ab
22121-8,Borrelia burgdorferi Ab
22122-6,Borrelia burgdorferi Ab
22123-4,Borrelia burgdorferi Ab.IgA
22124-2,Borrelia burgdorferi Ab.IgA
22125-9,Borrelia burgdorferi Ab.IgG
22126-7,Borrelia burgdorferi Ab.IgG
22127-5,Borrelia burgdorferi Ab.IgG
22128-3,Borrelia burgdorferi Ab.IgG
2212-9,Dihydropteridine reductase
22129-1,Borrelia burgdorferi Ab.IgG
22130-9,Borrelia burgdorferi Ab.IgG
22131-7,Borrelia burgdorferi Ab.IgG+IgM
22132-5,Borrelia burgdorferi Ab.IgM
22133-3,Borrelia burgdorferi Ab.IgM
22134-1,Borrelia burgdorferi Ab.IgM
22135-8,Borrelia burgdorferi Ab.IgM
22136-6,Borrelia burgdorferi Ab.IgM
2213-7,Dimethadione
22137-4,Borrelia burgdorferi Ab.IgM
22138-2,Borrelia hermsii Ab.IgG
22139-0,Borrelia hermsii Ab.IgM
22140-8,Bovine diarrhea virus 1 Ab
22141-6,Bovine diarrhea virus 2 Ab
22142-4,Bovine herpesvirus 1 Ab
22143-2,Bovine herpesvirus 1 Ab
22144-0,Bovine leukemia virus Ab
2214-5,Dinitrobenzene
22145-7,Bovine leukosis virus Ab
22146-5,Brucella abortus Ab
22147-3,Brucella abortus Ab
22148-1,Brucella abortus Ab
22149-9,Brucella abortus Ab
22150-7,Brucella abortus Ab
22151-5,Brucella abortus Ab.IgM
2215-2,Dipalmitoylphosphatidylcholine
22152-3,Brucella canis Ab
22153-1,Brucella canis Ab.IgG
22154-9,Brucella canis Ab.IgG
22155-6,Brucella canis Ab.IgM
22156-4,Brucella canis Ab.IgM
22157-2,Brucella melitensis Ab
22158-0,Brucella ovis Ab
22159-8,Brucella sp Ab
2216-0,DOPamine
22160-6,Brucella suis Ab
22161-4,Cache valley virus Ab
22162-2,Candida albicans Ab
22163-0,Candida albicans Ab
22164-8,Caprine arthritis encephalitis virus Ab
22165-5,Caprine arthritis encephalitis virus Ab
22166-3,Caprine parapoxvirus Ab
22167-1,Caprine parapoxvirus Ab
22168-9,Chicken anemia virus Ab
22169-7,Chlamydophila pneumoniae Ab.IgA
22170-5,Chlamydophila pneumoniae Ab.IgA
22171-3,Chlamydophila pneumoniae Ab.IgG
22172-1,Chlamydophila pneumoniae Ab.IgG
22173-9,Chlamydophila pneumoniae Ab.IgM
22174-7,Chlamydophila pneumoniae Ab.IgM
22175-4,Chlamydophila psittaci Ab
22176-2,Chlamydophila psittaci Ab
22177-0,Chlamydophila psittaci Ab.IgA
2217-8,DOPamine
22178-8,Chlamydophila psittaci Ab.IgA
22179-6,Chlamydophila psittaci Ab.IgG
22180-4,Chlamydophila psittaci Ab.IgG
22181-2,Chlamydophila psittaci Ab.IgM
22182-0,Chlamydia sp Ab
22183-8,Chlamydia sp Ab.IgG
22184-6,Chlamydia sp Ab.IgG
22185-3,Chlamydia sp Ab.IgM
2218-6,DOPamine
22186-1,Chlamydia sp Ab.IgM
22187-9,Chlamydia trachomatis Ab
22188-7,Chlamydia trachomatis Ab.IgA
22189-5,Chlamydia trachomatis Ab.IgA
22190-3,Chlamydia trachomatis Ab.IgG
22191-1,Chlamydia trachomatis Ab.IgG
22192-9,Chlamydia trachomatis Ab.IgM
22193-7,Chlamydia trachomatis Ab.IgM
2219-4,Dopamine beta-hydroxylase
22194-5,Chlamydia trachomatis B Ab.IgA
22195-2,Chlamydia trachomatis B Ab.IgG
22196-0,Chlamydia trachomatis B Ab.IgM
22197-8,Chlamydia trachomatis C Ab.IgA
22198-6,Chlamydia trachomatis C Ab.IgG
22199-4,Chlamydia trachomatis C Ab.IgM
222-0,Dicloxacillin
22200-0,Chlamydia trachomatis G+F+K Ab.IgA
22201-8,Chlamydia trachomatis G+F+K Ab.IgG
2220-2,Elastase.pancreatic.free
22202-6,Chlamydia trachomatis G+F+K Ab.IgM
22203-4,Clostridium tetani Ab.IgG
22204-2,Coccidioides immitis Ab
22205-9,Coccidioides immitis Ab
22206-7,Coccidioides immitis Ab
22207-5,Coccidioides immitis Ab
22208-3,Coccidioides immitis Ab
22209-1,Coccidioides immitis Ab.IgG
2221-0,Elastase.pancreatic
22210-9,Coccidioides immitis Ab.IgM
22211-7,Coxiella burnetii Ab
22212-5,Coxsackievirus A10 Ab
22213-3,Coxsackievirus A10 Ab
22214-1,Coxsackievirus A16 Ab
22215-8,Coxsackievirus A16 Ab
22216-6,Coxsackievirus A2 Ab
22217-4,Coxsackievirus A21 Ab
22218-2,Coxsackievirus A4 Ab
22219-0,Coxsackievirus A7 Ab
22220-8,Coxsackievirus A7 Ab
22221-6,Coxsackievirus A9 Ab
22222-4,Coxsackievirus A9 Ab
22223-2,Coxsackievirus B Ab.IgG
22224-0,Coxsackievirus B Ab.IgM
22225-7,Coxsackievirus B1 Ab
22226-5,Coxsackievirus B1 Ab
22227-3,Coxsackievirus B2 Ab
2222-8,Elastase.pancreatic 2
22228-1,Coxsackievirus B2 Ab
22229-9,Coxsackievirus B3 Ab
22230-7,Coxsackievirus B3 Ab
22231-5,Coxsackievirus B4 Ab
22232-3,Coxsackievirus B4 Ab
22233-1,Coxsackievirus B5 Ab
22234-9,Coxsackievirus B5 Ab
22235-6,Coxsackievirus B6 Ab
2223-6,Elastase.leukocyte
22236-4,Coxsackievirus B6 Ab
22237-2,Cryptococcus neoformans Ab
22238-0,Taenia solium larva Ab
22239-8,Cytomegalovirus Ab
22240-6,Cytomegalovirus Ab
22241-4,Cytomegalovirus Ab
22242-2,Cytomegalovirus Ab
22243-0,Cytomegalovirus Ab.IgG
2224-4,Enolase
22244-8,Cytomegalovirus Ab.IgG
22245-5,Cytomegalovirus Ab.IgG
22246-3,Cytomegalovirus Ab.IgG
22247-1,Cytomegalovirus Ab.IgG^2nd specimen
22248-9,Cytomegalovirus Ab.IgM
22249-7,Cytomegalovirus Ab.IgM
22250-5,Dengue virus 1 Ab
2225-1,Enolase.neuron specific
22251-3,Dengue virus 2 Ab
22252-1,Dengue virus 3 Ab
22253-9,Dengue virus 4 Ab
22254-7,Duck enteritis virus Ab
22255-4,Eastern equine encephalitis virus Ab
22256-2,Eastern equine encephalitis virus Ab
22257-0,Eastern equine encephalitis virus Ab
22258-8,Eastern equine encephalitis virus Ab.IgG
22259-6,Eastern equine encephalitis virus Ab.IgG
22260-4,Eastern equine encephalitis virus Ab.IgM
22261-2,Eastern equine encephalitis virus Ab.IgM
22262-0,Eastern equine encephalitis virus Ab
22263-8,Ebola virus Ab
22264-6,Echinococcus granulosus Ab.IgG
22265-3,Echinococcus sp Ab.IgG
22266-1,Echovirus 1 Ab
22267-9,Echovirus 11 Ab
22268-7,Echovirus 11 Ab
2226-9,Enteroglucagon
22269-5,Echovirus 14 Ab
22270-3,Echovirus 140 Ab
22271-1,Echovirus 16 Ab
22272-9,Echovirus 18 Ab
22273-7,Echovirus 19 Ab
22274-5,Echovirus 3 Ab
22275-2,Echovirus 30 Ab
22276-0,Echovirus 4 Ab
2227-7,Enteropeptidase
22277-8,Echovirus 4 Ab
22278-6,Echovirus 6 Ab
22279-4,Echovirus 7 Ab
22280-2,Echovirus 9 Ab
22281-0,Echovirus 9 Ab
22282-8,Echovirus NOS Ab
22283-6,Ehrlichia chaffeensis Ab.IgG
22284-4,Ehrlichia chaffeensis Ab.IgG
2228-5,Enterotoxin
22285-1,Entamoeba histolytica Ab
22286-9,Entamoeba histolytica Ab
22287-7,Entamoeba histolytica Ab.IgA
22288-5,Entamoeba histolytica Ab.IgG
22289-3,Entamoeba histolytica Ab.IgM
22290-1,Epstein Barr virus capsid Ab.IgA
22291-9,Epstein Barr virus capsid Ab.IgG
22292-7,Epstein Barr virus capsid Ab.IgM
2229-3,Epiandrosterone
22293-5,Epstein Barr virus early Ab
22294-3,Epstein Barr virus early Ab
22295-0,Epstein Barr virus early Ab.IgG
22296-8,Epstein Barr virus nuclear Ab
22297-6,Epstein Barr virus nuclear Ab
22298-4,Epstein Barr virus nuclear Ab.IgG
22299-2,Equine arteritis virus Ab
22300-8,Equine herpesvirus 1 Ab
2230-1,EPINEPHrine
22301-6,Equine infectious anemia virus Ab
22302-4,Equine influenza virus A1 Ab
22303-2,Equine influenza virus A2 Ab
22304-0,Giardia lamblia Ab
22305-7,Giardia lamblia Ab.IgA
22306-5,Giardia lamblia Ab.IgG
22307-3,Giardia lamblia Ab.IgM
22308-1,Hantavirus puumala Ab.IgG
22309-9,Hantavirus puumala Ab.IgM
22310-7,Helicobacter pylori Ab
22311-5,Helicobacter pylori Ab
22312-3,Hepatitis A virus Ab
22313-1,Hepatitis A virus Ab.IgG
22314-9,Hepatitis A virus Ab.IgM
22315-6,Hepatitis A virus Ab.IgM
22316-4,Hepatitis B virus core Ab
22317-2,Hepatitis B virus core Ab
22318-0,Hepatitis B virus core Ab.IgG
2231-9,EPINEPHrine
22319-8,Hepatitis B virus core Ab.IgM
22320-6,Hepatitis B virus little e Ab
22321-4,Hepatitis B virus little e Ab
22322-2,Hepatitis B virus surface Ab
22323-0,Hepatitis B virus surface Ab
22324-8,Hepatitis C virus 100-3 Ab
22325-5,Hepatitis C virus 22-3 Ab
22326-3,Hepatitis C virus 5-1-1 Ab
2232-7,EPINEPHrine
22327-1,Hepatitis C virus Ab
22328-9,Hepatitis C virus superoxide dismutase Ab
22329-7,Hepatitis C virus c33c Ab
22330-5,Hepatitis D virus Ab
22331-3,Herpes simplex virus 1 Ab
22332-1,Herpes simplex virus 1 Ab
22333-9,Herpes simplex virus 1 Ab.IgG
22334-7,Herpes simplex virus 1 Ab.IgM
2233-5,Epitestosterone
22335-4,Herpes simplex virus 2 Ab
22336-2,Herpes simplex virus 2 Ab.IgG
22337-0,Herpes simplex virus 2 Ab.IgG
22338-8,Herpes simplex virus 2 Ab.IgM
22339-6,Herpes simplex virus Ab
22340-4,Herpes simplex virus Ab
22341-2,Herpes simplex virus Ab
22342-0,Herpes simplex virus Ab.IgG
2234-3,Epitestosterone
22343-8,Herpes simplex virus Ab.IgM
22344-6,Heterophile Ab after absorption
22345-3,Histoplasma capsulatum Ab
22346-1,Histoplasma capsulatum Ab
22347-9,Histoplasma capsulatum Ab
22348-7,Histoplasma capsulatum Ab.IgA
22349-5,Histoplasma capsulatum Ab.IgA
2235-0,Epitestosterone
22350-3,Histoplasma capsulatum Ab.IgE
22351-1,Histoplasma capsulatum Ab.IgG
22352-9,Histoplasma capsulatum Ab.IgM
22353-7,Histoplasma capsulatum Ab.IgM
22354-5,Histoplasma capsulatum mycelial phase Ab
22355-2,Histoplasma capsulatum yeast phase Ab
22356-0,HIV 1 Ab
22357-8,HIV 1+2 Ab
22358-6,HIV 2 Ab
22359-4,HTLV I Ab
22360-2,HTLV I Ab.IgG
22361-0,HTLV I+II Ab
22362-8,HTLV I+II Ab
22363-6,HTLV I+II Ab
22364-4,Infectious bursal disease virus Ab
22365-1,Influenza virus A Ab
22366-9,Influenza virus A+B Ab
22367-7,Influenza virus B Ab
2236-8,Calciferol
22368-5,Influenza virus C Ab
22369-3,Japanese encephalitis virus Ab
22370-1,Japanese encephalitis virus Ab
22371-9,Junin virus Ab
22372-7,La Crosse virus Ab
22373-5,La Crosse virus Ab.IgG
22374-3,La Crosse virus Ab.IgG
22375-0,La Crosse virus Ab.IgM
2237-6,Erythropoietin
22376-8,La Crosse virus Ab.IgM
22377-6,Lassa virus Ab.IgG
22378-4,Lassa virus Ab.IgG
22379-2,Lassa virus Ab.IgM
223-8,Dicloxacillin
22380-0,Lassa virus Ab.IgM
22381-8,Legionella pneumophila 1 Ab.IgG
22382-6,Legionella pneumophila 1 Ab.IgM
22383-4,Legionella pneumophila 2 Ab.IgG
2238-4,Estradiol
22384-2,Legionella pneumophila 2 Ab.IgM
22385-9,Legionella pneumophila 3 Ab.IgG
22386-7,Legionella pneumophila 3 Ab.IgM
22387-5,Legionella pneumophila 4 Ab.IgG
22388-3,Legionella pneumophila 4 Ab.IgM
22389-1,Legionella pneumophila 5 Ab.IgG
22390-9,Legionella pneumophila 5 Ab.IgM
22391-7,Legionella pneumophila 6 Ab.IgG
2239-2,Estradiol
22392-5,Legionella pneumophila 6 Ab.IgM
22393-3,Legionella pneumophila 7 Ab
22394-1,Legionella pneumophila 8 Ab
22395-8,Legionella pneumophila 9 Ab
22396-6,Legionella pneumophila Ab
22397-4,Legionella pneumophila Ab.IgG
22398-2,Legionella pneumophila Ab.IgM
22399-0,Legionella sp Ab
22-Apr,Amoxicillin+Clavulanate
2240-0,Estradiol.free
22400-6,Leptospira interrogans serovar Bratislava Ab
22401-4,Leptospira interrogans serovar Canicola Ab
22402-2,Leptospira interrogans serovar Grippotyphosa Ab
22403-0,Leptospira interrogans serovar Hardjo Ab
22404-8,Leptospira interrogans serovar Icterohaemorrhagiae Ab
22405-5,Leptospira interrogans serovar Pomona Ab
22406-3,Listeria monocytogenes Ab
22407-1,little d little s DNA (Crithidia lucilia) Ab
22408-9,Lymphocytic choriomeningitis virus Ab
22409-7,Lymphocytic choriomeningitis virus Ab.IgG
22410-5,Lymphocytic choriomeningitis virus Ab.IgG
22411-3,Lymphocytic choriomeningitis virus Ab.IgM
22412-1,Saccharopolyspora rectivirgula Ab
22413-9,Mumps virus Ab
22414-7,Mumps virus Ab
22415-4,Mumps virus Ab.IgG
22416-2,Mumps virus Ab.IgG
22417-0,Mumps virus Ab.IgG
2241-8,Estradiol.free
22418-8,Mumps virus Ab.IgM
22419-6,Mumps virus Ab.IgM
22420-4,Mumps virus Ab.IgM
22421-2,Mycobacterium avium subspecies paratuberculosis Ab
22422-0,Mycoplasma gallisepticum Ab
22423-8,Mycoplasma hominis Ab
22424-6,Mycoplasma meleagridis Ab
22425-3,Mycoplasma pneumoniae Ab
2242-6,Estradiol.free
22426-1,Mycoplasma pneumoniae Ab.IgG
22427-9,Mycoplasma pneumoniae Ab.IgM
22428-7,Mycoplasma sp Ab
22429-5,Mycoplasma synoviae Ab
22430-3,Neisseria gonorrhoeae Ab
22431-1,Neisseria meningitidis serogroup Y Ab
22432-9,Neospora caninum Ab
22433-7,Neospora caninum Ab
2243-4,Estradiol
22434-5,Human papilloma virus Ab
22435-2,Paracoccidioides brasiliensis Ab
22436-0,Paragonimus sp Ab
22437-8,Parainfluenza virus 1 Ab
22438-6,Parainfluenza virus 2 Ab
22439-4,Parainfluenza virus 3 Ab
22440-2,Pasteurella multocida Ab
22441-0,Plasmodium falciparum Ab
2244-2,Estradiol
22442-8,Plasmodium malariae Ab
22443-6,Plasmodium ovale Ab
22444-4,Plasmodium vivax Ab
22445-1,Polio virus 1 Ab
22446-9,Polio virus 1 Ab
22447-7,Polio virus 2 Ab
22448-5,Polio virus 2 Ab
22449-3,Polio virus 3 Ab
22450-1,Polio virus 3 Ab
22451-9,Porcine reproductive and respiratory syndrome virus Ab
22452-7,Pseudorabies virus Ab
22453-5,Pseudorabies virus Ab
22454-3,Pseudorabies virus.ClinEase gene deletion Ab
22455-0,Pseudorabies virus.HerdCheck gene deletion Ab
22456-8,Pseudorabies virus.OmniMark gene deletion Ab
22457-6,Pseudorabies virus.Tolvid gene deletion Ab
22458-4,Rabies virus Ab
2245-9,Estradiol
22459-2,Reagin Ab
224-6,Doxycycline
22460-0,Reagin Ab
22461-8,Reagin Ab
22462-6,Reagin Ab
22463-4,Reagin Ab
22464-2,Reagin Ab
22465-9,Reovirus Ab
22466-7,Respiratory syncytial virus Ab
2246-7,Estradiol.unconjugated
22467-5,Respiratory syncytial virus Ab.IgM
22468-3,Rickettsia (Proteus OX19) Ab
22469-1,Rickettsia (Proteus OX19) Ab
22470-9,Rickettsia (Proteus OX2) Ab
22471-7,Rickettsia (Proteus OX2) Ab
22472-5,Rickettsia (Proteus OXK) Ab
22473-3,Rickettsia (Proteus OXK) Ab
22474-1,Rickettsia spotted fever group Ab
2247-5,Estriol.conjugated
22475-8,Rickettsia spotted fever group Ab
22476-6,Rickettsia spotted fever group Ab.IgG
22477-4,Rickettsia spotted fever group Ab.IgG
22478-2,Rickettsia spotted fever group Ab.IgM
22479-0,Rickettsia spotted fever group Ab.IgM
22480-8,Rickettsia typhus group Ab.IgG
22481-6,Rickettsia typhus group Ab.IgM
22482-4,Rickettsia rickettsii Ab.IgG
2248-3,Estriol
22483-2,Rickettsia rickettsii Ab.IgM
22484-0,Rickettsia sp Ab
22485-7,Orientia tsutsugamushi Ab
22486-5,Rickettsia typhi Ab
22487-3,Rickettsia typhi Ab.IgA
22488-1,Rickettsia typhi Ab.IgG
22489-9,Rickettsia typhi Ab.IgG
22490-7,Rickettsia typhi Ab.IgM
2249-1,Estriol.unconjugated
22491-5,Rickettsia typhus group Ab
22492-3,Rickettsia typhus group Ab
22493-1,Rickettsia typhus group Ab.IgG
22494-9,Rickettsia typhus group Ab.IgM
22495-6,Rotavirus Ab
22496-4,Rubella virus Ab
22497-2,Rubella virus Ab
22498-0,Measles virus Ab
22499-8,Measles virus Ab
22500-3,Measles virus Ab.IgG
22501-1,Measles virus Ab.IgG
22502-9,Measles virus Ab.IgG
22503-7,Measles virus Ab.IgG^1st specimen
22504-5,Measles virus Ab.IgG^2nd specimen
22505-2,Measles virus Ab.IgM
22506-0,Measles virus Ab.IgM
22507-8,Saint Louis encephalitis virus Ab
22508-6,Saint Louis encephalitis virus Ab
2250-9,Estriol.unconjugated
22509-4,Saint Louis encephalitis virus Ab
22510-2,Saint Louis encephalitis virus Ab
22511-0,Saint Louis encephalitis virus Ab.IgG
22512-8,Saint Louis encephalitis virus Ab.IgG
22513-6,Saint Louis encephalitis virus Ab.IgM
22514-4,Saint Louis encephalitis virus Ab.IgM
22515-1,Salmonella arizonae Ab
22516-9,Salmonella paratyphi A Ab
2251-7,Estriol
22517-7,Salmonella paratyphi A H Ab
22518-5,Salmonella paratyphi A H Ab
22519-3,Salmonella paratyphi A O Ab
22520-1,Salmonella paratyphi B Ab
22521-9,Salmonella paratyphi B H Ab
22522-7,Salmonella paratyphi B H Ab
